name,old_price,new_price,change_percent
Bobbi Brown Skin Corrector Stick - Deep Peach (3 g),2840.0,3550.0,25.0
Charmacy Milano Concealer - C 02 (7 ml),615.0,629.0,2.28
Armani Luminous Silk Glow Blush - 51-Amore (3.6 g),4250.0,5000.0,17.65
KIKO Milano Full Coverage Dark Circles Concealer - 08 - Honey (8 ml),1062.0,1125.0,5.93
M.A.C Studio Fix Powder Plus Foundation - NC15 (12 g),2550.0,3000.0,17.65
KIKO Milano Matte Fusion Pressed Powder - 03 Sienna (12 g),1181.0,1251.0,5.93
FENTY BEAUTY Cheeks Out Freestyle Cream Blush - Raisin Standardz (3 g),2500.0,3125.0,25.0
KIRO Glow On The Go 3 -1 Highlighter & Blush - 01 Celestial Dawn Bright (3.5 ml),595.0,722.0,21.34
KIKO Milano Skin Tone Face Base Primer - Green (30 ml),1096.0,1161.0,5.93
Smashbox Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25 - Tan (40ml),2767.0,2952.0,6.69
Armani Luminous Silk Hydrating & Brightening Concealer - 4-Light Golden (12 ml),3015.0,3350.0,11.11
Renee Cosmetics Pro Banana Powder - Dark (10 g),309.0,324.0,4.85
KIKO Milano Full Coverage 2-In-1 Foundation and Concealer - N25 Neutral (25 ml),1946.0,2061.0,5.91
KIKO Milano Highlighting Effect Fluid Concealer - 02 Ivory (2 ml),807.0,855.0,5.95
Swiss Beauty All-In-One CC Cream - Fair Natural (25 g),261.0,296.0,13.41
Bobbi Brown Sheer Finish Pressed Powder - Soft Sand (9g),3637.0,4850.0,33.35
Lakme 9to5 Powerplay Priming Concealer Built in Primer Hydrating - 30 Cinnamon (5.4 ml),231.0,250.0,8.23
RENEE You Are Glowing Liquid Highlighter - Rose Glow (6 ml),378.0,391.0,3.44
Lakme 9to5 Unreal Dual Cover Pressed Powder 2 In 1 Compact + Foundation - 34 Almond (9 g),231.0,250.0,8.23
KIRO Daily Dewy Serum Foundation - 01 Peachy Ivory (30ml),522.0,475.0,-9.0
Lakme 9to5 Powerplay Mousse Foundation - Rose Ivory (25 g),277.0,300.0,8.3
Huda Beauty Fauxfilter Luminous Matte Concealer - 4.3 Cookie Dough (9ml),2475.0,2700.0,9.09
Swiss Beauty Airbrush Finish Lightweight Foundation - Nude Beige (30 ml),396.0,423.0,6.82
Lakme Powerplay Priming Powder Foundation 3-in-1 Lasting Matte Dry/Oily Skin - Rose Silk (9 g),221.0,239.0,8.14
Lakme 9to5 Powerplay Priming Concealer Built in Primer Hydrating - 34 Almond (5.4 ml),231.0,250.0,8.23
RENEE Everyday Compact - Marble (8 g),191.0,199.0,4.19
Lakme Powerplay Priming Powder Foundation 3-in-1 Lasting Matte Dry/Oily Skin - Natural Almond (9 g),240.0,259.0,7.92
FENTY BEAUTY Soft'Lit Naturally Luminous Foundation - 110 (32 ml),3500.0,3937.0,12.49
FENTY BEAUTY Cheeks Out Freestyle Cream Blush - Petal Poppin (3 g),2500.0,3125.0,25.0
Makeup Revolution Pore Blur Primer - (28ml),539.0,572.0,6.12
Swiss Beauty Glow and Fix Combo,466.0,502.0,7.73
Smashbox X Becca Shimmering Skin Perfector Pressed - Moonstone (7g),2840.0,3550.0,25.0
Yves Saint Laurent All Hours Foundation - MW2 (25 ml),4590.0,4680.0,1.96
FENTY BEAUTY Match Stix Matte Contour Skinstick - Espresso (7.1 g),2740.0,3425.0,25.0
Pilgrim Dream Matte Foundation Stick - 120 Light Vanilla (10 g),574.0,633.0,10.28
KIKO Milano Full Coverage Concealer - 04 Dark (2 ml),1011.0,1071.0,5.93
Renee Tinted Moisturizer - Rose Veil (50 ml),473.0,489.0,3.38
Too Faced Born This Way Foundation - Golden Beige (30 ml),3160.0,3950.0,25.0
KIKO Milano Highlighting Effect Fluid Concealer - 04 Rosy Beige (2 ml),807.0,855.0,5.95
Charmacy Milano Matte Foundation - 10 Shade (30ml),967.0,989.0,2.28
Lakme Powerplay Priming Powder Foundation 3-in-1 Lasting Matte Dry/Oily Skin - Honey Dew (9 g),221.0,239.0,8.14
"Lakme 9 to 5 Powerplay Matte Compact, Oil Control Formula, With Vitamin E, Apricot (8 g)",247.0,266.0,7.69
FENTY BEAUTY Invisimatte Instant Setting + Blotting Powder - Universal (8.5 g),3240.0,4050.0,25.0
M.A.C Studio Fix Powder Plus Foundation - NC41 (12 g),2550.0,3000.0,17.65
